transaction_id,bank_code,payment_method,error_code,timestamp_hour,day_of_month,amount_inr,past_user_failure_count,failure_classification,optimal_retry_delay_hours
ff67648d-f846-4e73-a628-171d52ed4caa,HDFC,DEBIT_CARD_MANDATE,GATEWAY_DOWNTIME,3,22,18594.23,1,TRANSIENT_DOWNTIME,1.94
1db5a0dc-098f-46f4-836d-302fbbc5f80e,HDFC,UPI_AUTOPAY,INSUFFICIENT_FUNDS,16,23,6408.31,2,LIQUIDITY_DEFICIT,129.79
ba83fb4e-a13f-40fa-87ed-cabe47e5919d,AXIS,CREDIT_CARD,GATEWAY_DOWNTIME,2,7,47882.0,0,TRANSIENT_DOWNTIME,3.11
e4998503-41a4-4cbd-aa93-7a9d75a86feb,ICICI,CREDIT_CARD,CARD_EXPIRED,23,15,27042.83,5,TERMINAL_FAIL,1265.09
bb1b2928-f5cb-4a49-8ab3-39f0cc5a2091,AXIS,DEBIT_CARD_MANDATE,AUTHENTICATION_TIMEOUT,11,19,5048.72,0,AUTH_EXPIRY,1.08
156f28ff-aafc-4642-80ef-f8fc30aef624,KOTAK,DEBIT_CARD_MANDATE,CARD_EXPIRED,3,13,7165.23,2,TERMINAL_FAIL,1245.36
3ab34275-b317-421c-ba8f-767bc38ba0f5,HDFC,UPI_AUTOPAY,GATEWAY_DOWNTIME,20,3,9214.75,0,TRANSIENT_DOWNTIME,2.11
57660931-ef63-43b5-a42a-a3414710d0cd,ICICI,CREDIT_CARD,AUTHENTICATION_TIMEOUT,21,11,42221.01,2,AUTH_EXPIRY,0.59
6d97ea10-d18a-4ce7-8615-fe1fa2fb5cf7,SBI,UPI_AUTOPAY,GATEWAY_DOWNTIME,3,29,10824.85,0,TRANSIENT_DOWNTIME,1.38
b289853c-a370-4181-8a49-4d856d070632,HDFC,DEBIT_CARD_MANDATE,GATEWAY_DOWNTIME,17,9,18750.99,0,TRANSIENT_DOWNTIME,1.67
34c1b63e-4aa4-4a55-98e0-fe11a58ba41e,KOTAK,UPI_AUTOPAY,GATEWAY_DOWNTIME,3,28,1821.92,1,TRANSIENT_DOWNTIME,2.08
dd49e893-a334-457a-bbc5-033bbab2a7ac,SBI,UPI_AUTOPAY,CARD_EXPIRED,16,9,14571.93,3,TERMINAL_FAIL,736.53
d6e5ff13-dc19-4f0f-9162-f73f7012090e,ICICI,DEBIT_CARD_MANDATE,INSUFFICIENT_FUNDS,7,28,4205.65,0,LIQUIDITY_DEFICIT,124.59
6221f2bb-b4f9-4eec-a545-9c5c0f8d3e53,KOTAK,DEBIT_CARD_MANDATE,AUTHENTICATION_TIMEOUT,16,30,2927.45,1,AUTH_EXPIRY,1.15
2084a334-0da4-4b16-ba6b-33d3f90f2c67,HDFC,UPI_AUTOPAY,AUTHENTICATION_TIMEOUT,16,30,207.46,0,AUTH_EXPIRY,0.12
56f75f8b-40a4-4a83-8839-dba95babe118,AXIS,CREDIT_CARD,CARD_EXPIRED,9,8,3366.35,4,TERMINAL_FAIL,2083.61
53c3b8a5-dbc5-4eaa-9426-9f8e5bb037c8,SBI,UPI_AUTOPAY,GATEWAY_DOWNTIME,4,5,9963.97,4,TRANSIENT_DOWNTIME,0.43
a122888a-8bfb-4308-afb1-644ae6e6165e,KOTAK,CREDIT_CARD,CARD_EXPIRED,22,7,35790.69,1,TERMINAL_FAIL,1687.23
ec1824ea-9d18-473d-a33c-98666e1b3d52,KOTAK,UPI_AUTOPAY,INSUFFICIENT_FUNDS,7,29,3604.93,1,LIQUIDITY_DEFICIT,77.76
fb4c1ed7-bc00-4098-80cc-7e74b310208e,HDFC,DEBIT_CARD_MANDATE,CARD_EXPIRED,10,3,12999.17,0,TERMINAL_FAIL,1419.0
b02301c4-ffc3-4326-a6a5-921b3b29e0f7,AXIS,DEBIT_CARD_MANDATE,CARD_EXPIRED,18,16,6301.27,1,TERMINAL_FAIL,1306.17
847974a0-2f68-4de3-a752-03d9f51d9e76,ICICI,UPI_AUTOPAY,INSUFFICIENT_FUNDS,11,7,10165.47,5,LIQUIDITY_DEFICIT,106.2
4849fc32-a300-44ac-b7fa-3f123a11d318,SBI,CREDIT_CARD,GATEWAY_DOWNTIME,2,9,23399.55,3,TRANSIENT_DOWNTIME,3.16
28a64c17-f162-4e2a-be66-a2378e8cbe60,AXIS,UPI_AUTOPAY,AUTHENTICATION_TIMEOUT,3,2,9851.4,1,AUTH_EXPIRY,0.4
0800ed1d-05d5-4b72-aef9-8173331a0087,SBI,UPI_AUTOPAY,INSUFFICIENT_FUNDS,21,11,5808.18,5,LIQUIDITY_DEFICIT,151.25
5a747adc-cdba-4170-9c05-ff861031785b,SBI,DEBIT_CARD_MANDATE,INSUFFICIENT_FUNDS,22,23,16647.88,2,LIQUIDITY_DEFICIT,114.71
d4e6eb06-54c5-436d-9708-6a659732a76e,HDFC,DEBIT_CARD_MANDATE,INSUFFICIENT_FUNDS,1,5,4187.75,5,LIQUIDITY_DEFICIT,23.05
d9886b7e-f58e-4760-8553-4886951599d7,ICICI,UPI_AUTOPAY,AUTHENTICATION_TIMEOUT,7,13,1973.44,3,AUTH_EXPIRY,0.21
4b42c619-a660-4511-b114-3ec3a979c2a2,ICICI,UPI_AUTOPAY,INSUFFICIENT_FUNDS,22,2,4130.36,1,LIQUIDITY_DEFICIT,48.6
1a9a1a75-b561-43ae-99f9-41e78e257730,KOTAK,UPI_AUTOPAY,AUTHENTICATION_TIMEOUT,0,15,9392.78,1,AUTH_EXPIRY,0.1
52c539c4-a31d-4590-a018-e0ab3d197533,SBI,UPI_AUTOPAY,GATEWAY_DOWNTIME,2,15,12539.26,2,TRANSIENT_DOWNTIME,2.92
5d46de5e-dccc-43d8-bee1-5ae94b1e1c70,KOTAK,DEBIT_CARD_MANDATE,AUTHENTICATION_TIMEOUT,0,22,20482.29,0,AUTH_EXPIRY,1.13
7354cd31-6567-4ee6-8ace-9a569dd1dce9,HDFC,UPI_AUTOPAY,INSUFFICIENT_FUNDS,7,2,10374.65,4,LIQUIDITY_DEFICIT,49.58
becddbb0-b627-4841-9d41-e2bad6b447fd,KOTAK,UPI_AUTOPAY,GATEWAY_DOWNTIME,3,2,251.48,2,TRANSIENT_DOWNTIME,1.85
2440394f-95c5-444a-9f12-82be6381324d,ICICI,DEBIT_CARD_MANDATE,INSUFFICIENT_FUNDS,0,2,13775.63,4,LIQUIDITY_DEFICIT,52.79
a9b4e3a1-1d29-41c5-8dfa-5316de4a08c3,HDFC,UPI_AUTOPAY,INSUFFICIENT_FUNDS,22,7,13503.98,1,LIQUIDITY_DEFICIT,127.96
88a14266-d1e9-4a7f-8294-a422d91bd63f,SBI,CREDIT_CARD,CARD_EXPIRED,4,30,46529.04,3,TERMINAL_FAIL,2125.74
5c8fb5f4-c0df-48ab-b551-7086dc459da7,KOTAK,DEBIT_CARD_MANDATE,GATEWAY_DOWNTIME,10,26,23291.08,2,TRANSIENT_DOWNTIME,2.54
d2652168-9a5d-4740-bad2-2e350ee3ffb5,SBI,DEBIT_CARD_MANDATE,AUTHENTICATION_TIMEOUT,3,13,21842.39,3,AUTH_EXPIRY,0.5
6f02e192-1b56-4a62-9fca-b9c0110dfbaa,AXIS,UPI_AUTOPAY,GATEWAY_DOWNTIME,1,11,4322.6,0,TRANSIENT_DOWNTIME,3.7
f6a7127c-0a02-42e7-90a6-5aa88b9fae07,SBI,DEBIT_CARD_MANDATE,INSUFFICIENT_FUNDS,18,16,23499.1,1,LIQUIDITY_DEFICIT,253.45
023e5125-b088-4f4d-9702-38128fd2cb0f,HDFC,UPI_AUTOPAY,INSUFFICIENT_FUNDS,19,5,1910.67,4,LIQUIDITY_DEFICIT,41.94
bfa112e8-d983-453b-894b-c067fa48af66,SBI,UPI_AUTOPAY,INSUFFICIENT_FUNDS,20,12,5589.84,0,LIQUIDITY_DEFICIT,181.08
5ebd1d1f-8248-4677-89ae-c4dc01ba8118,ICICI,CREDIT_CARD,INSUFFICIENT_FUNDS,8,27,27942.97,1,LIQUIDITY_DEFICIT,164.07
80d29ba3-2eba-43bf-abef-f6d7b61cd99e,AXIS,UPI_AUTOPAY,GATEWAY_DOWNTIME,2,27,205.01,0,TRANSIENT_DOWNTIME,2.64
b2dbdaca-6650-42e0-8c19-385aafc29983,SBI,DEBIT_CARD_MANDATE,INSUFFICIENT_FUNDS,6,2,16573.27,1,LIQUIDITY_DEFICIT,57.79
727c602f-362d-424f-8a02-7cdf5f9e3994,HDFC,DEBIT_CARD_MANDATE,CARD_EXPIRED,7,22,7966.67,3,TERMINAL_FAIL,932.19
5019ba84-7495-47ad-8833-dbd861096bef,KOTAK,UPI_AUTOPAY,INSUFFICIENT_FUNDS,20,5,3076.84,3,LIQUIDITY_DEFICIT,48.24
def4c2ca-f5cb-4e29-8553-a2d5da7508dd,AXIS,UPI_AUTOPAY,AUTHENTICATION_TIMEOUT,3,25,6491.59,0,AUTH_EXPIRY,1.73
07781fcf-7670-42b0-ac92-9d5615e48db3,HDFC,UPI_AUTOPAY,GATEWAY_DOWNTIME,14,5,12060.77,1,TRANSIENT_DOWNTIME,1.87
32123d6d-4782-4cde-8005-ae294d1c3c18,ICICI,CREDIT_CARD,CARD_EXPIRED,16,14,41613.0,1,TERMINAL_FAIL,2011.98
5a745ca0-b707-4c0b-b474-a0d9e4d4ac8e,SBI,DEBIT_CARD_MANDATE,GATEWAY_DOWNTIME,3,25,19508.35,1,TRANSIENT_DOWNTIME,1.59
32995232-c272-4fcb-abc6-e9379c6ec928,SBI,UPI_AUTOPAY,AUTHENTICATION_TIMEOUT,7,9,5169.88,3,AUTH_EXPIRY,0.33
57989696-a789-4256-9ec7-c6874ceb6024,HDFC,UPI_AUTOPAY,INSUFFICIENT_FUNDS,9,31,6417.54,5,LIQUIDITY_DEFICIT,69.83
5a511e1b-ed60-4db0-bc62-41557327c34c,AXIS,DEBIT_CARD_MANDATE,AUTHENTICATION_TIMEOUT,12,16,444.64,0,AUTH_EXPIRY,1.45
7be87b05-e894-4674-a9d0-978c1071acc2,AXIS,UPI_AUTOPAY,INSUFFICIENT_FUNDS,17,28,7386.99,2,LIQUIDITY_DEFICIT,129.09
2ee52195-091e-4657-b51a-c06a366043d3,AXIS,DEBIT_CARD_MANDATE,CARD_EXPIRED,4,20,13492.39,4,TERMINAL_FAIL,1572.33
2d6b3b5d-c508-4c38-a1d7-5f2fbbf349da,HDFC,DEBIT_CARD_MANDATE,INSUFFICIENT_FUNDS,21,27,5527.22,2,LIQUIDITY_DEFICIT,164.93
70bebc65-f968-4722-b5ae-2ba1d7ac7bef,SBI,CREDIT_CARD,GATEWAY_DOWNTIME,2,31,17822.39,1,TRANSIENT_DOWNTIME,3.34
366fafbd-2f79-41fa-b703-c592b6175cb7,ICICI,DEBIT_CARD_MANDATE,AUTHENTICATION_TIMEOUT,7,7,21028.79,1,AUTH_EXPIRY,0.34
07ea2c91-e136-4af5-87c6-3429dd711c80,SBI,CREDIT_CARD,INSUFFICIENT_FUNDS,10,1,39000.48,1,LIQUIDITY_DEFICIT,32.68
157fbf06-5451-42bb-9a7d-90508c2f2219,KOTAK,DEBIT_CARD_MANDATE,INSUFFICIENT_FUNDS,22,2,2176.19,3,LIQUIDITY_DEFICIT,65.36
11f46cf6-f080-40b0-bf24-6f24e3a51d2d,ICICI,CREDIT_CARD,GATEWAY_DOWNTIME,1,12,26870.42,1,TRANSIENT_DOWNTIME,4.31
a8807a70-28e3-4313-b188-cc23468e9632,ICICI,UPI_AUTOPAY,GATEWAY_DOWNTIME,2,14,14419.62,1,TRANSIENT_DOWNTIME,3.22
f53a4987-c04b-40a5-95a9-d8b9fc240053,AXIS,UPI_AUTOPAY,CARD_EXPIRED,8,20,12161.16,1,TERMINAL_FAIL,1416.24
ea72cdef-8cb6-49d5-98dc-5bb282157a7b,AXIS,UPI_AUTOPAY,GATEWAY_DOWNTIME,2,9,13248.02,0,TRANSIENT_DOWNTIME,2.59
e0f89f94-df77-4e35-8456-e4faff38d9f3,ICICI,UPI_AUTOPAY,INSUFFICIENT_FUNDS,0,11,7415.23,2,LIQUIDITY_DEFICIT,125.45
3030684a-9b16-4950-89d2-f32ec289bf4d,ICICI,CREDIT_CARD,AUTHENTICATION_TIMEOUT,6,3,12446.37,0,AUTH_EXPIRY,1.14
3ba7682d-7c59-4ec5-aa51-8b37388773da,SBI,UPI_AUTOPAY,AUTHENTICATION_TIMEOUT,14,26,454.22,0,AUTH_EXPIRY,0.68
df45b28d-b105-4452-9795-92a38b9a2378,ICICI,UPI_AUTOPAY,INSUFFICIENT_FUNDS,23,28,4208.83,1,LIQUIDITY_DEFICIT,115.73
b1a5ee53-bab7-4206-bb3e-527f6bade03d,HDFC,UPI_AUTOPAY,INSUFFICIENT_FUNDS,20,28,4291.47,3,LIQUIDITY_DEFICIT,138.54
06f3ea9c-41d3-4363-b90e-82ade4675bdc,SBI,CREDIT_CARD,INSUFFICIENT_FUNDS,8,10,14077.68,5,LIQUIDITY_DEFICIT,196.58
9ae56402-9b6b-4bca-8ff9-4ea851ee4388,HDFC,DEBIT_CARD_MANDATE,CARD_EXPIRED,15,4,21856.05,2,TERMINAL_FAIL,1395.93
c1be902a-b561-4310-ba6b-21dffe5bdaa9,HDFC,UPI_AUTOPAY,GATEWAY_DOWNTIME,15,4,12367.13,0,TRANSIENT_DOWNTIME,0.58
2ed1cf96-526e-4430-a6e9-8302499cbf0c,ICICI,UPI_AUTOPAY,INSUFFICIENT_FUNDS,23,5,9022.27,3,LIQUIDITY_DEFICIT,65.88
13746360-3a59-4465-b1ea-76208bbfe68b,KOTAK,UPI_AUTOPAY,GATEWAY_DOWNTIME,2,19,9390.83,1,TRANSIENT_DOWNTIME,2.95
17864830-f1c1-4469-a1c7-1a37e6686e71,HDFC,UPI_AUTOPAY,AUTHENTICATION_TIMEOUT,5,8,2771.61,0,AUTH_EXPIRY,0.1
c452323c-823f-43a2-b482-17558eb6233f,ICICI,UPI_AUTOPAY,GATEWAY_DOWNTIME,3,23,12922.04,0,TRANSIENT_DOWNTIME,2.02
8ec5f9da-0cd4-4129-9c14-f1d4b593a0ac,ICICI,DEBIT_CARD_MANDATE,AUTHENTICATION_TIMEOUT,6,14,3134.09,0,AUTH_EXPIRY,0.46
2b76e004-9eef-4f85-8885-8d366ab0eb4b,HDFC,UPI_AUTOPAY,GATEWAY_DOWNTIME,19,24,12398.58,3,TRANSIENT_DOWNTIME,1.13
1aa6403d-ddfe-47b6-bea1-ca73a5a6479c,SBI,UPI_AUTOPAY,INSUFFICIENT_FUNDS,12,3,9134.57,0,LIQUIDITY_DEFICIT,26.73
1f923831-07ee-4ee3-8031-e37d0eb3d737,AXIS,DEBIT_CARD_MANDATE,AUTHENTICATION_TIMEOUT,0,25,16905.03,0,AUTH_EXPIRY,0.17
03731329-fcc9-4e5b-bb88-ba7a54c94e4c,KOTAK,DEBIT_CARD_MANDATE,GATEWAY_DOWNTIME,3,16,24235.63,1,TRANSIENT_DOWNTIME,1.66
621dbeda-b50f-4463-aaed-e644005d5ffe,SBI,UPI_AUTOPAY,GATEWAY_DOWNTIME,2,16,4464.91,4,TRANSIENT_DOWNTIME,3.15
67d36e24-8123-4c4b-bd49-f9e02628b03b,SBI,UPI_AUTOPAY,INSUFFICIENT_FUNDS,23,25,9933.03,2,LIQUIDITY_DEFICIT,199.63
04cd00eb-b014-424e-9318-d7dc30bc8b0a,SBI,UPI_AUTOPAY,AUTHENTICATION_TIMEOUT,20,15,11447.62,0,AUTH_EXPIRY,1.06
12e09676-57c3-4ef2-88b2-b18a3fcfef1b,HDFC,DEBIT_CARD_MANDATE,CARD_EXPIRED,19,26,6209.89,0,TERMINAL_FAIL,1513.21
edee5f24-4d8a-4726-b5bd-b745b608ee44,HDFC,DEBIT_CARD_MANDATE,CARD_EXPIRED,3,15,23692.35,2,TERMINAL_FAIL,941.72
63a07a64-0699-47e8-b98c-9546ce33322a,SBI,CREDIT_CARD,CARD_EXPIRED,13,27,24383.21,1,TERMINAL_FAIL,1377.77
572dfe53-28b4-4e4e-aec4-c45a1898dcc2,HDFC,UPI_AUTOPAY,INSUFFICIENT_FUNDS,19,31,11891.88,2,LIQUIDITY_DEFICIT,72.9
c676c5fd-abd3-4a7c-83b7-c9e5dd249345,AXIS,UPI_AUTOPAY,GATEWAY_DOWNTIME,2,22,7446.17,0,TRANSIENT_DOWNTIME,2.73
7089d575-1ff2-4329-885d-9d4a3e5d668d,ICICI,DEBIT_CARD_MANDATE,INSUFFICIENT_FUNDS,9,5,9758.76,4,LIQUIDITY_DEFICIT,42.65
0925c8bf-d5b9-48c4-b47a-3e70b0a3b0d3,SBI,UPI_AUTOPAY,AUTHENTICATION_TIMEOUT,12,13,14828.52,2,AUTH_EXPIRY,1.31
d45285e2-63eb-4fa5-a7e0-df5324241e0f,KOTAK,UPI_AUTOPAY,INSUFFICIENT_FUNDS,2,9,7983.6,2,LIQUIDITY_DEFICIT,225.39
d655b255-6f85-411f-8efb-e4cb1159dbbf,ICICI,UPI_AUTOPAY,GATEWAY_DOWNTIME,3,11,9423.86,0,TRANSIENT_DOWNTIME,2.23
034bf7d1-4f9c-4c73-8d53-c878de4adef4,ICICI,DEBIT_CARD_MANDATE,CARD_EXPIRED,20,23,22219.62,1,TERMINAL_FAIL,1499.06
3c030758-fe14-4b7a-a29b-d42af65551c3,HDFC,DEBIT_CARD_MANDATE,AUTHENTICATION_TIMEOUT,9,8,18744.88,0,AUTH_EXPIRY,0.32
f95ed937-88b9-4ada-958e-df3f3e3bd4ad,AXIS,DEBIT_CARD_MANDATE,INSUFFICIENT_FUNDS,19,7,8311.38,0,LIQUIDITY_DEFICIT,128.15
3565f298-d1c2-4ef5-9f32-5b8cb5c279a0,ICICI,UPI_AUTOPAY,GATEWAY_DOWNTIME,3,13,9371.33,0,TRANSIENT_DOWNTIME,2.09
8697eef6-6894-4ea0-946d-4baebd0e642b,HDFC,CREDIT_CARD,AUTHENTICATION_TIMEOUT,8,15,13137.93,0,AUTH_EXPIRY,1.47
5d400a63-6058-4458-a5a6-62b27e8de389,SBI,UPI_AUTOPAY,INSUFFICIENT_FUNDS,17,27,6960.63,2,LIQUIDITY_DEFICIT,179.52
cf8a829b-cedf-4c24-a54d-fc48086bd4f9,HDFC,CREDIT_CARD,INSUFFICIENT_FUNDS,10,1,48908.23,3,LIQUIDITY_DEFICIT,24.38
8d55dbb9-2bd1-4866-88c0-0ac743514610,HDFC,DEBIT_CARD_MANDATE,AUTHENTICATION_TIMEOUT,15,27,22632.54,0,AUTH_EXPIRY,1.1
270ff9bc-bd08-45cf-b2f7-74ae4cdee087,SBI,DEBIT_CARD_MANDATE,AUTHENTICATION_TIMEOUT,19,9,17040.46,2,AUTH_EXPIRY,1.17
de34be8e-4c25-473c-b79c-6226f8ae33f3,ICICI,CREDIT_CARD,INSUFFICIENT_FUNDS,12,1,45526.49,2,LIQUIDITY_DEFICIT,33.45
54565720-9f94-440d-a2e4-27b84ee7ef52,AXIS,UPI_AUTOPAY,AUTHENTICATION_TIMEOUT,11,17,7626.06,0,AUTH_EXPIRY,0.74
a403b018-1003-49f8-9439-170144ed93ff,SBI,CREDIT_CARD,CARD_EXPIRED,3,15,48163.18,0,TERMINAL_FAIL,2111.76
73f96c3d-41ea-41d2-a5eb-35501ab36fe3,AXIS,CREDIT_CARD,CARD_EXPIRED,17,12,4969.08,1,TERMINAL_FAIL,1100.82
b37eb1c5-ee4d-4cf8-a64d-ebd4b2c7de1b,SBI,UPI_AUTOPAY,AUTHENTICATION_TIMEOUT,8,19,5838.56,1,AUTH_EXPIRY,0.37
d9e0b654-91c4-4f66-b669-bf4801cf8909,SBI,DEBIT_CARD_MANDATE,AUTHENTICATION_TIMEOUT,17,11,22906.74,0,AUTH_EXPIRY,0.38
361c0c4f-45c0-4a87-85df-95e7c754fdb7,SBI,UPI_AUTOPAY,GATEWAY_DOWNTIME,9,16,1917.7,0,TRANSIENT_DOWNTIME,0.99
fe554f83-2a76-4e97-a49e-e65ffc78d4b5,SBI,UPI_AUTOPAY,AUTHENTICATION_TIMEOUT,22,31,8194.39,1,AUTH_EXPIRY,1.34
253160de-6fdf-461b-b5cb-ad800526887d,ICICI,CREDIT_CARD,CARD_EXPIRED,8,2,34668.58,0,TERMINAL_FAIL,1360.36
d6bfa0a6-e53f-48a5-a222-adbc64735223,SBI,UPI_AUTOPAY,CARD_EXPIRED,11,18,13545.01,2,TERMINAL_FAIL,807.19
6ba4677c-f170-436b-8168-e123916fa5c1,KOTAK,UPI_AUTOPAY,AUTHENTICATION_TIMEOUT,14,3,10008.64,1,AUTH_EXPIRY,0.74
0c928355-ca4d-4384-b719-851aec28cae2,AXIS,UPI_AUTOPAY,GATEWAY_DOWNTIME,2,3,12481.13,1,TRANSIENT_DOWNTIME,2.53
937d2d64-8ab0-4bad-b77a-2d929e75e613,AXIS,UPI_AUTOPAY,AUTHENTICATION_TIMEOUT,19,1,4302.94,5,AUTH_EXPIRY,1.29
8679613e-7296-4b3f-89c7-8169678d3708,AXIS,DEBIT_CARD_MANDATE,GATEWAY_DOWNTIME,4,1,9147.94,2,TRANSIENT_DOWNTIME,1.91
e4c84479-404c-4ac1-b144-d0a2b0a2793a,SBI,UPI_AUTOPAY,GATEWAY_DOWNTIME,2,12,7795.44,0,TRANSIENT_DOWNTIME,3.02
f2935d5c-4a22-4c70-bc7c-b4b5952f507b,KOTAK,UPI_AUTOPAY,GATEWAY_DOWNTIME,21,17,4663.43,1,TRANSIENT_DOWNTIME,1.14
9088cacd-7ce4-4a01-9e29-f42baf98f0d4,HDFC,UPI_AUTOPAY,AUTHENTICATION_TIMEOUT,14,3,13509.05,0,AUTH_EXPIRY,0.3
73b35afe-43ba-4acc-b265-a32f48d924c4,ICICI,UPI_AUTOPAY,INSUFFICIENT_FUNDS,19,3,6914.44,3,LIQUIDITY_DEFICIT,17.14
bf18cd4d-df02-4f7b-b7c3-6ae47235bc48,AXIS,DEBIT_CARD_MANDATE,AUTHENTICATION_TIMEOUT,6,14,11452.86,0,AUTH_EXPIRY,0.2
7596a8c0-bd1b-4e4f-920a-dc07227e2c03,SBI,UPI_AUTOPAY,GATEWAY_DOWNTIME,3,12,14313.12,1,TRANSIENT_DOWNTIME,1.87
12f1d192-8d48-47ce-ad3a-99e41f6d9b9d,SBI,UPI_AUTOPAY,AUTHENTICATION_TIMEOUT,11,26,2124.84,0,AUTH_EXPIRY,1.45
c51e3456-30e7-43ac-b82b-cd2ddd68c210,ICICI,DEBIT_CARD_MANDATE,INSUFFICIENT_FUNDS,21,19,21741.74,3,LIQUIDITY_DEFICIT,265.38
fb32b5ad-77e6-42cc-b92f-72c7983ab16f,HDFC,DEBIT_CARD_MANDATE,AUTHENTICATION_TIMEOUT,7,28,2972.1,2,AUTH_EXPIRY,0.5
5bc25ca3-cb9b-4480-b10b-65c039fb0da9,ICICI,DEBIT_CARD_MANDATE,AUTHENTICATION_TIMEOUT,17,25,20514.96,1,AUTH_EXPIRY,1.45
cb6ec1ef-47d3-46fe-a0eb-92e78cbb7d3b,SBI,CREDIT_CARD,GATEWAY_DOWNTIME,9,30,17320.66,0,TRANSIENT_DOWNTIME,2.35
c947e84d-67e2-4ae0-a1ab-b4d5f21b7716,SBI,DEBIT_CARD_MANDATE,GATEWAY_DOWNTIME,1,24,13402.45,0,TRANSIENT_DOWNTIME,3.83
7c7882a0-9c7d-454e-920c-9f4d5cefc488,SBI,UPI_AUTOPAY,AUTHENTICATION_TIMEOUT,19,3,13273.35,0,AUTH_EXPIRY,1.19
3d57474e-c2cd-4914-9fc5-7642986bfa11,HDFC,UPI_AUTOPAY,INSUFFICIENT_FUNDS,12,26,11372.91,1,LIQUIDITY_DEFICIT,170.99
602dc604-3a83-4d32-9fb2-ffd78ae8483f,ICICI,UPI_AUTOPAY,GATEWAY_DOWNTIME,2,1,3224.67,4,TRANSIENT_DOWNTIME,3.44
74860cbb-bef8-46e9-bef3-ad4724520562,AXIS,DEBIT_CARD_MANDATE,INSUFFICIENT_FUNDS,3,26,9690.5,3,LIQUIDITY_DEFICIT,198.65
